#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
-37.559605,123,6.152779,False
-6.861239,170,13.613431,False
-1.133895,100,17.666986,False
-17.035102,94,21.469108,False
-18.314389,104,25.676485,False
-4.399919,104,29.910473,False
65.906692,59,32.316921,True
-23.934335,126,37.424679,False
-22.403805,139,43.043271,False
-4.719807,88,46.617015,False
-28.334703,112,51.192931,False
-0.862901,136,56.723547,False
60.91667,45,58.571741,True
59.207866,32,59.904377,True
-10.308463,98,63.898846,False
56.768017,27,65.023096,True
-27.027178,84,68.515833,False
2.842568,79,71.736601,False
-15.374964,93,75.560723,False
-13.954925,146,81.492166,False
11.727874,123,95.709544,False
-15.450503,94,99.561323,False
-18.683978,212,108.274513,False
67.735704,70,111.172634,True
-22.937486,133,116.652427,False
60.588416,45,118.509826,True
50.245101,1,118.564832,True
61.695099,44,120.380761,True
7.314906,109,124.868665,False
-30.403054,154,131.250264,False
-9.240758,169,138.194725,False
-11.710361,154,144.495199,False
49.936958,1,144.55363,True
-5.254688,97,148.554596,False
62.194664,53,150.736446,True
82.45194,186,158.416111,True
-11.382532,123,163.482463,False
-32.158216,77,166.630853,False
8.563704,94,170.524905,False
72.583121,106,175.123549,True
-22.145342,142,191.398993,False
-27.279831,87,194.912604,False
-28.752328,149,200.884118,False
-4.22406,107,205.222789,False
66.221401,53,207.359947,True
-13.795353,148,213.334167,False
-30.382785,252,223.53305,False
1.107488,79,226.73944,False
9.117234,110,231.203126,False
62.834508,53,233.355103,True
-23.864386,150,239.425803,False
66.521632,77,242.556633,True
69.06009,78,245.783386,True
67.408713,80,249.038092,True
-26.320904,122,253.979615,False
-27.112647,119,258.801958,False
68.872474,73,261.759685,True
-2.882456,124,266.753636,False
7.035037,106,271.063532,False
69.174767,81,284.066664,True
68.540207,74,287.076937,True
-32.612508,101,291.188891,False
-7.69731,140,296.878826,False
58.223859,26,297.951065,True
-5.980688,148,303.986838,False
57.180184,26,305.128962,True
-18.476343,72,308.05903,False
59.834543,51,310.132565,True
59.312499,35,311.575303,True
-11.309961,95,315.457278,False
49.690913,1,315.512298,True
-15.854441,112,320.081302,False
-26.224323,161,326.617149,False
-1.997602,94,330.444998,False
-33.658524,129,335.7038,False
-19.848917,93,339.497282,False
-10.754628,95,343.358388,False
-3.389586,113,347.993126,False
57.134241,33,349.36413,True
-30.551362,102,353.523683,False
-2.465958,151,359.677904,False
-20.334328,153,375.000698,False
4.276697,112,379.55882,False
77.907559,119,384.412882,True
-9.265576,101,388.533286,False
53.476905,11,389.000527,True
-27.583149,270,400.018676,False
-6.599751,149,406.083598,False
-21.01883,147,412.101495,False
-31.802637,117,416.895849,False
-13.014282,127,422.116452,False
-18.340065,124,427.289172,False
-12.46054,106,431.663536,False
-12.59368,96,435.593213,False
-8.887802,94,439.440625,False
55.263105,18,440.199475,True
-34.351249,123,445.246608,False
-26.649455,102,449.432803,False
-23.092975,96,453.39136,False
-8.887665,141,469.117166,False
57.707454,27,470.249043,True
-24.802865,262,481.021211,False
-25.981203,158,487.5888,False
-8.943528,179,494.913525,False
-25.118439,281,506.482121,False
-4.523039,396,522.739015,False
7.783514,350,537.041023,False
2.587702,419,565.510197,False
5.260037,87,569.059497,False
-5.368361,167,575.859721,False
69.69632,84,579.295967,True
-4.493522,82,582.644469,False
-17.671404,168,589.486281,False
-23.861116,158,595.944314,False
-32.133388,146,601.889183,False
63.798119,45,603.902168,True
63.373888,48,606.057075,True
3.43875,102,610.342741,False
-25.616074,141,616.709736,False
-22.3266,119,622.422163,False
62.221387,61,625.315079,True
1.330164,130,631.566404,False
72.309753,99,635.977931,True
65.748648,59,638.4302,True
6.182594,160,645.091387,False
72.924801,97,649.120833,True
-11.703447,169,667.628983,False
67.180547,74,671.095181,True
-5.456184,163,678.449818,False
64.715472,89,682.411718,True
-9.073961,460,701.983991,False
-13.642611,132,707.567232,False
65.410616,60,710.090858,True
-9.914524,149,716.04229,False
-31.912476,91,719.675564,False
-13.298182,113,724.310401,False
-13.920197,231,733.547619,False
-44.501899,193,741.463656,False
74.212761,108,746.504647,True
-6.073926,297,770.338971,False
-32.195974,108,775.268239,False
15.113414,179,783.318046,False
-17.435211,177,791.137626,False
-32.657558,207,800.330256,False
-33.452439,214,809.957286,False
-30.022359,409,827.997866,False
-21.384395,197,836.608555,False
63.596456,57,839.117912,True
-26.531296,196,847.743193,False
11.843844,240,870.782553,False
66.464712,76,874.106006,True
77.442205,334,888.98052,True
-39.180571,340,904.286572,False
-36.188047,600,930.437291,False
-10.132762,600,963.44606,False
68.946883,109,968.029682,True
-31.662339,380,984.13798,False
-31.73941,223,993.512995,False
75.635052,128,999.185415,True
49.992701,1,999.247122,True
-8.696528,170,1006.383994,False
67.530535,76,1009.603984,True
60.411648,39,1011.270923,True
-33.399031,298,1023.954022,False
-45.228707,251,1034.628333,False
-27.713129,176,1042.015134,False
-30.626256,165,1060.526172,False
12.80593,600,1086.882097,False
83.123944,181,1094.991821,True
-4.836638,600,1121.449332,False
58.297034,39,1123.175458,True
79.788538,159,1130.149037,True
-33.762087,463,1159.156952,False
58.259012,38,1160.83434,True
55.477359,25,1161.939972,True
-13.674263,198,1170.573575,False
-8.472641,325,1184.629095,False
-37.526194,298,1197.981173,False
-6.109175,366,1216.403403,False
-32.471476,269,1229.143345,False
-46.183814,386,1246.180081,False
70.40533,114,1251.243857,True
-26.217796,292,1275.762496,False
-32.588924,497,1297.906185,False
63.452509,60,1300.570268,True
2.105205,201,1309.438744,False
88.268774,282,1321.910407,True
68.178573,87,1325.78763,True
67.420112,86,1329.599219,True
73.320607,99,1334.462918,True
-60.994853,582,1368.995286,False
73.618854,144,1375.401072,True
94.084555,255,1386.804197,True
-8.263084,413,1405.057117,False
105.379499,357,1420.888494,True
-26.594515,298,1434.155937,False
25.203675,243,1445.050482,False
58.932064,41,1446.896732,True
69.492546,102,1451.424064,True
9.69646,402,1482.209069,False
60.424477,54,1484.616612,True
-28.497306,358,1500.551636,False
-47.010317,308,1514.204507,False
10.254041,297,1528.290971,False
-7.840874,383,1545.252126,False
72.45798,316,1568.673919,True
80.061208,426,1587.653497,True
82.136349,408,1605.790275,True
109.12282,559,1630.651915,True
74.793533,168,1638.15192,True
16.323794,600,1673.520266,False
9.898494,600,1700.323614,False
9.026918,600,1727.201571,False
22.349513,600,1753.90725,False
