#{"t_start": 1773982596.0599632, "env_id": "None"}
r,l,t
60.992677,24,5.356773
58.944617,21,8.420742
59.258571,18,11.033779
65.440068,252,47.193919
-26.131657,80,58.669225
57.105826,196,86.882538
57.214638,15,89.114511
61.78648,23,92.463791
55.256263,11,94.111751
53.518155,7,95.150937
59.401696,22,98.343598
59.755881,20,101.269658
60.490453,24,104.701294
62.331886,27,108.580762
60.44916,31,113.114141
61.418232,81,124.956235
62.319306,25,128.619004
62.160947,26,132.571598
56.551185,13,134.507158
57.614547,15,136.814393
54.968646,11,138.44573
58.999336,20,141.467333
62.850732,28,145.735682
59.637002,21,148.802109
57.428199,16,151.228601
58.274498,17,153.761866
58.528866,22,156.93646
61.028132,24,160.452896
63.35935,69,170.613482
62.321468,25,174.42533
59.700748,19,177.227774
59.254191,19,180.031055
62.186071,24,183.613519
55.012725,12,185.380533
66.143789,68,195.857666
56.815415,17,198.729286
58.95959,19,201.959916
60.717095,21,205.52167
58.753477,19,208.704441
53.968296,8,210.065769
59.265166,128,231.280951
66.443466,37,237.451472
60.621119,23,241.365343
58.240603,18,244.370019
56.422404,15,246.855518
50.046856,180,276.650278
60.398332,44,283.903094
61.18868,22,287.560851
60.636455,23,291.408736
67.350036,37,297.547467
59.246405,18,300.538929
58.318846,16,303.200155
58.6175,18,306.187594
57.026501,46,313.881601
54.831024,71,343.387971
57.998657,16,346.187961
61.175971,24,350.389533
58.671843,20,353.732669
55.650704,13,355.890856
57.382366,18,358.904083
62.109873,25,363.067048
55.095334,11,364.90314
56.711326,15,367.467592
61.445603,23,371.355544
57.155342,16,374.016066
56.168969,12,376.010566
59.873229,19,379.210613
55.720394,12,381.302037
57.558645,42,388.454465
59.230491,59,398.651131
62.725712,27,403.265868
61.03197,44,410.674008
64.466422,30,415.815084
60.123528,20,419.237133
56.125603,41,426.288468
62.524485,26,430.729762
61.894132,26,435.010114
57.13528,15,437.561847
60.538107,20,440.96127
61.993626,23,444.94692
56.211203,13,447.166675
56.91993,78,460.161971
58.183471,18,463.175715
65.393791,34,468.783419
57.683928,19,471.945854
63.872688,29,476.780586
58.33382,19,479.948953
58.642428,22,483.596787
58.433777,20,487.008788
54.154979,136,509.641493
52.771606,48,517.700375
54.869806,20,521.061817
60.091798,81,534.423124
58.602325,17,537.264928
49.834471,70,548.792878
59.375718,35,554.570593
63.777411,30,559.435657
57.644443,15,561.946075
58.693598,21,565.46761
67.502885,60,575.386774
56.486312,13,577.570023
65.700083,36,583.566474
57.877886,17,586.463371
57.842484,31,591.717891
53.767254,8,593.08311
64.441606,45,600.687616
63.696439,29,605.560763
55.638548,74,617.949202
59.908329,22,621.631776
56.510592,14,624.016109
59.272017,19,627.219126
55.448783,96,643.251448
60.900534,24,647.28944
60.223717,23,651.043313
57.806417,16,653.755289
59.834878,21,657.295226
52.416243,76,670.03401
59.23499,20,673.40395
63.81658,29,688.566164
55.088707,10,690.354363
54.880431,12,692.467966
59.442195,21,696.1588
61.919177,68,707.378837
57.74373,16,710.101547
50.118021,1,710.292043
61.368878,25,714.312727
61.557551,23,718.159198
57.362739,57,727.649794
50.148205,1,727.84429
58.63744,21,731.272173
60.615249,22,734.9757
54.969313,58,745.342805
66.127988,79,759.014812
58.462764,18,762.080295
