#{"t_start": 1776617067.526807, "env_id": "None"}
r,l,t,is_success,fusion_alpha
62.4392,26,1.712819,True,0.96
-12.61398,33,3.057043,False,0.96
-1.617902,44,4.847554,False,0.96
-5.38258,40,6.47862,False,0.96
-6.214024,31,7.752314,False,0.96
-13.068245,35,9.182199,False,0.96
53.541908,8,9.528447,True,0.96
59.395953,18,10.264044,True,0.96
59.388775,25,11.30343,True,0.96
62.767476,26,12.373793,True,0.96
-15.13487,36,13.86273,False,0.96
59.351167,21,14.736753,True,0.96
55.211977,10,15.161137,True,0.96
50.184861,1,15.215301,True,0.96
62.767973,30,16.445178,True,0.96
55.361352,11,16.910815,True,0.96
55.222446,10,17.334685,True,0.96
-1.963048,34,18.738979,False,0.96
59.468603,21,19.60314,True,0.96
-22.211169,43,21.394999,False,0.96
-19.653366,39,23.057431,False,0.96
-7.807945,36,24.627007,False,0.96
-9.573354,39,26.303725,False,0.96
-9.24389,35,27.806418,False,0.96
-23.357297,43,29.656833,False,0.96
-1.735231,32,31.05401,False,0.96
-12.558388,36,32.590609,False,0.96
-26.103494,39,34.219796,False,0.96
-25.011369,37,35.811943,False,0.96
-3.449736,31,37.149648,False,0.96
-9.46042,32,38.484473,False,0.96
60.585562,21,39.357103,True,0.96
-26.066488,36,40.832706,False,0.96
-9.840215,37,42.348201,False,0.96
59.80455,20,43.174237,True,0.96
-22.806239,36,44.646456,False,0.96
-23.556173,42,46.370641,False,0.96
-25.558472,32,47.667518,False,0.96
-15.803263,40,49.283429,False,0.96
59.08716,18,50.036306,True,0.96
62.746832,29,51.244316,True,0.96
-12.797953,36,52.783411,False,0.96
-23.714536,36,54.26458,False,0.96
-7.829326,38,55.943244,False,0.96
-12.395516,32,57.316434,False,0.96
-7.612095,32,58.629413,False,0.96
59.408089,18,59.39009,True,0.96
55.817914,12,59.960596,True,0.96
-19.967004,35,61.417997,False,0.96
62.846621,30,62.641205,True,0.96
-8.182167,36,64.109303,False,0.96
-6.318163,35,65.525645,False,0.96
-5.082678,33,67.015473,False,0.96
63.601271,29,68.527139,True,0.96
60.188673,22,69.557902,True,0.96
-13.622823,35,71.092868,False,0.96
-13.092101,43,72.953179,False,0.96
54.077237,8,73.334059,True,0.96
59.88173,23,74.315623,True,0.96
60.434583,23,75.426797,True,0.96
-15.929975,39,77.076878,False,0.96
59.344163,20,77.926025,True,0.96
-21.219119,31,79.219044,False,0.96
-25.813508,35,80.696583,False,0.96
54.340676,9,81.087026,True,0.96
-1.905734,36,82.588055,False,0.96
64.180465,31,83.888413,True,0.96
-2.291632,35,85.39021,False,0.96
-24.271112,37,87.000284,False,0.96
-21.311667,46,93.07205,False,0.96
-7.140552,31,94.463588,False,0.96
-10.620314,37,96.085202,False,0.96
-16.681963,41,98.009895,False,0.96
-25.516562,37,99.706375,False,0.96
-11.940239,36,101.35223,False,0.96
59.425321,18,102.256578,True,0.96
-8.200086,36,103.812397,False,0.96
-9.739767,42,105.636769,False,0.96
-3.789481,38,107.352295,False,0.96
-14.106102,38,109.004902,False,0.96
-1.830078,33,110.43629,False,0.96
57.358861,14,111.052811,True,0.96
60.746694,25,112.133096,True,0.96
-10.981713,38,113.855439,False,0.96
-24.137947,38,115.5316,False,0.96
60.74966,22,116.604707,True,0.96
-23.948458,37,118.606719,False,0.96
-4.51231,40,120.560207,False,0.96
60.968612,22,121.461849,True,0.96
53.620142,9,121.846629,True,0.96
57.871307,20,122.684855,True,0.96
57.638351,17,123.418464,True,0.96
55.963297,20,124.271748,True,0.96
59.464381,19,125.095677,True,0.96
-22.11318,39,126.786591,False,0.96
-11.307037,36,128.358486,False,0.96
58.866251,22,129.414375,True,0.96
-16.264791,40,131.165924,False,0.96
-23.990485,36,132.777417,False,0.96
61.571198,32,134.153784,True,0.96
-12.375885,37,135.766773,False,0.96
53.634517,8,136.121095,True,0.96
-30.307983,53,138.503504,False,0.96
54.106511,9,138.888244,True,0.96
-8.573756,39,140.744004,False,0.96
63.753136,30,142.089602,True,0.96
55.546971,12,142.650651,True,0.96
-5.803553,35,144.213001,False,0.96
-14.664356,37,145.812017,False,0.96
-25.18741,37,147.408973,False,0.96
57.855637,15,148.033895,True,0.96
0.126201,31,149.327033,False,0.96
-13.881187,34,150.731139,False,0.96
53.565451,9,151.11562,True,0.96
58.287074,18,151.872952,True,0.96
64.647643,32,153.220711,True,0.96
61.591972,27,154.379663,True,0.96
-18.060536,35,155.813425,False,0.96
52.910772,6,156.072854,True,0.96
57.494322,20,156.898669,True,0.96
-8.633658,36,158.37473,False,0.96
-10.790602,36,159.835067,False,0.96
-14.060074,52,161.958054,False,0.96
-15.177475,37,163.458871,False,0.96
-14.131248,33,164.795492,False,0.96
-14.056921,42,166.502475,False,0.96
-25.413297,37,168.00876,False,0.96
54.708037,10,168.431842,True,0.96
-15.699647,42,170.133335,False,0.96
-19.636946,43,171.886835,False,0.96
-2.500111,31,173.164188,False,0.96
60.873327,29,174.357725,True,0.96
52.491111,5,174.571443,True,0.96
59.180787,25,175.597098,True,0.96
0.239516,32,176.918984,False,0.96
-0.271612,34,178.329428,False,0.96
63.619697,31,179.614152,True,0.96
-2.110119,33,184.696817,False,0.96
-10.02248,38,186.249267,False,0.96
-22.831662,34,187.630024,False,0.96
63.883979,31,188.899867,True,0.96
-10.916582,38,190.467073,False,0.96
56.456639,13,191.010737,True,0.96
-19.86284,42,192.737782,False,0.96
-18.029692,38,194.305167,False,0.96
-1.485095,34,195.699872,False,0.96
-26.758414,40,197.329073,False,0.96
-6.464831,36,198.810565,False,0.96
-11.683435,40,200.469215,False,0.96
-5.672808,38,202.027242,False,0.96
-20.044411,33,203.390927,False,0.96
-1.837498,36,204.860787,False,0.96
59.482307,30,206.111364,True,0.96
57.485089,16,206.773217,True,0.96
-26.302968,42,208.498281,False,0.96
60.148742,23,209.443926,True,0.96
60.523966,25,210.479215,True,0.96
53.139863,6,210.747492,True,0.96
-12.509544,36,212.216692,False,0.96
-7.537278,36,213.71954,False,0.96
60.454378,22,214.635457,True,0.96
54.189558,10,215.05647,True,0.96
59.834961,21,215.945832,True,0.96
-8.117745,37,217.462797,False,0.96
-6.180247,36,218.954762,False,0.96
-14.776522,39,220.532955,False,0.96
61.957525,29,221.727482,True,0.96
-12.760014,39,223.343867,False,0.96
-17.649668,39,224.93791,False,0.96
-13.069698,40,226.575647,False,0.96
54.732349,15,227.218413,True,0.96
-25.075432,36,228.689589,False,0.96
62.971514,27,229.800561,True,0.96
-7.150202,37,231.370639,False,0.96
-19.247649,53,233.539854,False,0.96
62.575012,26,234.612117,True,0.96
-26.255032,38,236.171507,False,0.96
-5.766383,35,237.611143,False,0.96
-11.902644,36,239.121742,False,0.96
58.300943,16,239.799534,True,0.96
57.634898,16,240.473949,True,0.96
-16.156669,36,241.949757,False,0.96
57.064725,16,242.632066,True,0.96
-22.993996,36,244.107246,False,0.96
-9.589528,44,245.96692,False,0.96
62.828882,27,247.084367,True,0.96
-26.023341,41,248.794718,False,0.96
-10.768538,34,250.205358,False,0.96
60.637529,21,251.094876,True,0.96
54.743406,10,251.529339,True,0.96
-4.475652,36,253.043281,False,0.96
-23.574687,33,254.406263,False,0.96
55.806174,14,254.998391,True,0.96
-10.611616,38,256.570785,False,0.96
-24.761158,36,258.069062,False,0.96
-1.179516,36,259.573643,False,0.96
-6.345169,38,261.146886,False,0.96
59.896886,19,261.94658,True,0.96
-9.866371,37,263.515202,False,0.96
-13.307729,41,265.193253,False,0.96
-14.937469,41,266.895226,False,0.96
62.205598,26,268.002717,True,0.96
53.052451,8,268.348896,True,0.96
-20.844625,47,273.962584,False,0.96
57.849469,19,274.7569,True,0.96
-4.207465,33,276.108755,False,0.96
-21.456244,38,277.692389,False,0.96
59.02216,21,278.582145,True,0.96
57.818899,15,279.226076,True,0.96
-23.987457,38,280.799757,False,0.96
-7.822954,37,282.336663,False,0.96
-11.693283,41,284.065007,False,0.96
62.435125,27,285.197706,True,0.96
-22.833724,53,287.385905,False,0.96
53.660623,8,287.734984,True,0.96
59.855178,22,288.659026,True,0.96
61.937515,25,289.71779,True,0.96
-5.332069,55,292.005036,False,0.96
-11.009913,35,293.466825,False,0.96
60.93,25,294.521468,True,0.96
57.921956,17,295.249477,True,0.96
-12.650291,38,296.83274,False,0.96
-18.134195,35,298.278006,False,0.96
-16.096945,42,300.014931,False,0.96
-5.747672,36,301.561336,False,0.96
-20.822514,36,303.053385,False,0.96
-19.606966,38,304.621426,False,0.96
55.542403,12,305.135892,True,0.96
-10.406227,33,306.526357,False,0.96
54.498186,9,306.915465,True,0.96
57.085693,18,307.681656,True,0.96
60.862095,24,308.700974,True,0.96
-27.057042,42,310.448594,False,0.96
60.508828,23,311.423452,True,0.96
62.105143,27,312.580502,True,0.96
-14.775978,55,314.894406,False,0.96
61.899209,24,315.913264,True,0.96
58.919733,21,316.798933,True,0.96
63.836769,38,318.388607,True,0.96
-3.189345,39,320.008608,False,0.96
57.212748,16,320.681093,True,0.96
58.384569,22,321.592949,True,0.96
60.719272,21,322.497947,True,0.96
57.759134,15,323.156659,True,0.96
-8.210609,36,324.668307,False,0.96
58.371966,19,325.472861,True,0.96
-15.97428,39,327.096318,False,0.96
61.653873,28,328.280472,True,0.96
-17.120849,48,330.29627,False,0.96
62.862755,27,331.429514,True,0.96
61.518279,25,332.481797,True,0.96
-9.1446,36,333.987036,False,0.96
