#{"t_start": 1776605778.9724045, "env_id": "None"}
r,l,t,is_success,fusion_alpha
55.905086,16,3.225704,True,0.95
56.972109,21,6.389273,True,0.95
63.901771,31,11.044643,True,0.95
62.261763,27,15.135891,True,0.95
57.918453,49,22.502962,True,0.95
63.182649,41,28.634156,True,0.95
56.308033,18,31.397662,True,0.95
59.766069,23,34.93443,True,0.95
60.043246,22,38.320866,True,0.95
64.102683,32,43.249785,True,0.95
53.669667,7,44.377484,True,0.95
62.038958,25,48.216777,True,0.95
62.951251,26,52.191316,True,0.95
60.000214,22,55.474363,True,0.95
62.252765,27,59.504196,True,0.95
54.469387,10,61.010215,True,0.95
57.387442,17,63.530401,True,0.95
55.965356,12,65.322456,True,0.95
55.118647,60,74.17232,True,0.95
50.417862,1,74.351243,True,0.95
61.92495,65,83.814422,True,0.95
59.060594,18,86.472014,True,0.95
69.825923,45,93.057101,True,0.95
63.869376,30,97.490409,True,0.95
61.682717,27,101.464199,True,0.95
60.633227,27,105.465024,True,0.95
63.108591,48,112.528027,True,0.95
62.114649,26,116.400954,True,0.95
62.918948,51,123.83783,True,0.95
62.267001,32,128.543485,True,0.95
59.702364,58,137.099256,True,0.95
58.219007,24,140.682138,True,0.95
60.218454,27,144.687823,True,0.95
56.971635,64,154.287055,True,0.95
60.409719,25,158.078745,True,0.95
57.645085,16,160.504597,True,0.95
62.782782,29,164.908043,True,0.95
54.435416,14,167.049986,True,0.95
56.331844,15,169.332536,True,0.95
63.757983,30,173.751793,True,0.95
67.560092,79,185.342138,True,0.95
61.15389,22,188.609,True,0.95
61.150599,67,198.512593,True,0.95
53.529067,15,200.75397,True,0.95
52.236597,40,206.705114,True,0.95
59.080002,23,210.107026,True,0.95
54.955765,14,212.192597,True,0.95
62.793088,29,216.464486,True,0.95
60.186833,24,219.948872,True,0.95
63.319425,30,224.478165,True,0.95
62.0621,26,228.41334,True,0.95
56.225751,15,230.753078,True,0.95
53.885881,44,237.379765,True,0.95
58.722869,23,240.879873,True,0.95
56.458871,13,242.886028,True,0.95
55.216571,47,249.952751,True,0.95
62.634174,35,255.215261,True,0.95
57.884997,21,258.393795,True,0.95
60.656622,25,262.207975,True,0.95
59.278547,52,270.167166,True,0.95
58.440805,62,279.658451,True,0.95
55.542699,64,289.201865,True,0.95
60.41208,22,292.493493,True,0.95
63.25369,29,296.839184,True,0.95
61.192108,25,300.589735,True,0.95
56.849755,18,303.297327,True,0.95
62.159075,29,314.98768,True,0.95
56.469781,14,317.082769,True,0.95
