#{"t_start": 1776183257.2952, "env_id": "None"}
r,l,t,is_success,fusion_alpha
63.414605,140,25.019994,True,0.96
64.144832,141,49.86237,True,0.96
63.017235,28,54.800577,True,0.96
63.126733,28,59.675552,True,0.96
60.55808,24,63.892024,True,0.96
55.431363,94,80.692272,True,0.96
64.525586,97,97.619194,True,0.96
51.292156,41,104.723518,True,0.96
57.890628,18,107.901329,True,0.96
58.428139,132,130.903775,True,0.96
57.583409,141,155.452132,True,0.96
59.421701,25,159.835039,True,0.96
63.163868,32,165.442225,True,0.96
62.404392,35,171.700458,True,0.96
63.904022,138,196.350967,True,0.96
64.986223,89,212.138684,True,0.96
56.635791,16,215.055136,True,0.96
65.767904,177,246.675054,True,0.96
65.569073,142,272.262864,True,0.96
56.661541,17,275.308611,True,0.96
63.598574,32,281.175226,True,0.96
57.49235,125,304.171026,True,0.96
62.429045,28,309.229849,True,0.96
58.72641,21,313.049792,True,0.96
55.352927,64,324.656743,True,0.96
64.868603,90,340.845687,True,0.96
64.271119,37,347.522996,True,0.96
56.450882,118,387.495553,True,0.96
57.923364,82,402.311249,True,0.96
60.750723,40,409.494416,True,0.96
60.476915,23,413.681242,True,0.96
61.764704,27,418.586332,True,0.96
53.764253,10,420.417379,True,0.96
60.342491,25,424.95318,True,0.96
62.263221,28,430.032739,True,0.96
57.652856,22,434.001945,True,0.96
64.02919,97,451.611878,True,0.96
63.061195,33,457.641639,True,0.96
59.417741,18,460.890559,True,0.96
62.764983,34,467.097677,True,0.96
58.651093,18,470.387577,True,0.96
64.170726,33,476.322636,True,0.96
58.005878,16,479.314485,True,0.96
65.075108,57,489.647223,True,0.96
58.45152,17,492.72897,True,0.96
62.440449,145,519.453678,True,0.96
62.949545,89,535.444084,True,0.96
59.194402,128,558.684845,True,0.96
58.700516,75,572.233081,True,0.96
59.632957,95,589.318893,True,0.96
57.536204,24,593.687278,True,0.97
60.180636,92,610.53938,True,0.97
54.660084,17,613.652016,True,0.97
57.093132,15,616.654753,True,0.97
61.474774,29,622.072152,True,0.97
59.572445,75,636.033092,True,0.97
60.233929,92,652.586845,True,0.97
62.062654,59,663.475214,True,0.97
62.312079,95,680.641262,True,0.97
58.643693,45,688.757134,True,0.97
60.849971,111,708.846672,True,0.97
61.772594,89,724.958071,True,0.97
66.066058,121,746.771578,True,0.97
16.073715,600,867.491669,False,0.97
71.159395,313,924.189787,True,0.97
15.334037,600,1031.833119,False,0.97
58.120801,77,1045.511871,True,0.97
53.98562,317,1101.808116,True,0.97
8.078958,600,1222.522888,False,0.97
10.709802,600,1329.433759,False,0.97
6.748092,600,1436.853175,False,0.97
13.801661,600,1554.329475,False,0.97
72.752851,577,1653.985258,True,0.97
64.016107,254,1697.710609,True,0.97
67.808149,315,1753.394416,True,0.97
61.967038,219,1791.995278,True,0.97
58.888369,235,1833.566633,True,0.97
14.886303,600,1959.175897,False,0.97
12.161833,600,2065.950375,False,0.97
7.351247,600,2172.243536,False,0.97
7.422396,600,2289.689087,False,0.97
4.878499,600,2396.636202,False,0.97
7.259049,600,2503.904381,False,0.97
3.972775,600,2610.430066,False,0.97
2.285935,600,2730.270049,False,0.97
10.148098,600,2837.223554,False,0.97
4.960573,600,2944.92187,False,0.97
5.616114,600,3062.756064,False,0.97
3.237505,600,3172.16327,False,0.97
2.593334,600,3280.118721,False,0.97
3.764859,600,3388.117686,False,0.97
4.209133,600,3508.041321,False,0.97
10.863334,600,3616.872777,False,0.97
8.547256,600,3725.510453,False,0.97
9.478201,600,3838.730647,False,0.97
7.620906,600,3942.683493,False,0.97
5.908276,600,4047.207698,False,0.97
4.575848,600,4160.480211,False,0.97
10.710517,600,4265.478676,False,0.97
2.267979,600,4369.898449,False,0.97
6.381154,600,4475.138686,False,0.97
5.836838,600,4591.96524,False,0.97
7.050068,600,4698.209856,False,0.97
1.480008,600,4803.397836,False,0.97
11.546959,600,4917.887557,False,0.97
7.039586,600,5022.966068,False,0.97
2.615935,600,5130.656342,False,0.97
6.683641,600,5236.284479,False,0.97
7.191871,600,5353.606276,False,0.97
2.292917,600,5459.343997,False,0.97
1.966873,600,5565.571828,False,0.97
3.859536,600,5680.595486,False,0.97
2.342555,600,5787.03056,False,0.97
10.824891,600,5893.028081,False,0.97
8.643705,600,6000.173655,False,0.97
8.743534,600,6118.630629,False,0.97
4.264149,600,6226.055622,False,0.97
11.077999,600,6333.126097,False,0.97
6.994812,600,6451.826373,False,0.97
1.355978,600,6559.402026,False,0.97
0.069025,600,6668.056365,False,0.97
8.978008,600,6787.635572,False,0.97
6.613886,600,6896.55699,False,0.97
4.918402,600,7005.876008,False,0.97
10.14752,600,7116.051212,False,0.97
8.058556,600,7240.122148,False,0.97
1.779736,600,7351.073782,False,0.97
9.306325,600,7463.138987,False,0.97
