#{"t_start": 1776578793.939894, "env_id": "None"}
r,l,t,is_success,fusion_alpha
61.845547,25,4.441314,True,0.8
57.753506,18,7.114511,True,0.8
60.941777,25,10.807466,True,0.8
61.695329,24,14.358193,True,0.8
63.20548,28,18.49049,True,0.8
61.040533,25,22.167447,True,0.8
57.248049,60,30.875976,True,0.8
65.285242,53,38.565238,True,0.8
55.000747,13,40.471732,True,0.8
59.534183,18,43.095153,True,0.8
60.797071,25,46.727797,True,0.8
62.202654,24,50.202032,True,0.8
58.917376,28,54.26417,True,0.8
60.455762,23,57.617724,True,0.8
64.188151,31,62.139161,True,0.8
62.27519,25,65.789335,True,0.8
58.549979,18,68.502682,True,0.8
54.803317,12,70.32093,True,0.8
56.334209,12,72.134336,True,0.8
61.089863,28,76.269859,True,0.8
56.310756,20,79.234478,True,0.9
64.514441,31,83.80457,True,0.9
56.338473,12,85.621162,True,0.9
56.418413,42,91.846112,True,0.9
57.121078,15,94.073343,True,0.9
61.973491,25,97.791483,True,0.9
58.139755,22,101.133477,True,0.9
58.7315,65,110.841069,True,0.9
59.411512,18,113.540085,True,0.9
59.529687,22,116.862038,True,0.9
54.666336,12,118.668116,True,0.9
61.618575,25,122.389012,True,0.9
54.197511,12,124.196173,True,0.9
62.093726,26,128.098714,True,0.9
61.972226,25,131.824089,True,0.9
57.45003,61,140.919382,True,0.9
60.352007,35,146.107089,True,0.9
54.956494,34,151.10619,True,0.9
58.668622,18,153.756578,True,0.9
62.87452,29,157.996442,True,0.9
10.836073,600,245.287882,False,1.0
7.275308,600,343.365786,False,1.0
13.483903,600,431.473569,False,1.0
12.050198,600,518.883587,False,1.0
12.222656,600,606.491754,False,1.0
13.010026,600,704.266956,False,1.0
