#{"t_start": 1774356940.1518853, "env_id": "None"}
r,l,t,is_success,fusion_alpha
54.667076,12,2.933168,True,0.8
55.97119,12,5.07842,True,0.8
58.818243,22,8.888441,True,0.8
59.044577,22,12.780091,True,0.8
57.805068,20,16.259516,True,0.8
60.776983,22,20.070339,True,0.8
56.554266,14,22.543391,True,0.8
55.753243,16,25.324246,True,0.8
62.978398,28,30.048406,True,0.8
62.005588,68,41.795878,True,0.8
64.893836,54,51.235852,True,0.8
56.655524,33,56.993307,True,0.8
59.412595,20,60.505953,True,0.8
60.856608,25,64.810765,True,0.8
65.124139,33,71.435865,True,0.8
61.755168,68,85.397272,True,0.8
57.431914,19,89.179837,True,0.8
62.843483,28,94.793434,True,0.8
61.37528,23,99.449976,True,0.8
59.80996,20,103.51083,True,0.8
56.202433,25,108.462815,True,0.8
57.330849,14,111.277083,True,0.8
64.325137,53,121.927788,True,0.8
55.652223,13,124.560779,True,0.8
59.186566,22,129.06546,True,0.8
57.631585,19,132.941125,True,0.8
52.74482,6,134.194294,True,0.8
55.25934,13,136.815329,True,0.8
54.420996,10,138.865085,True,0.8
58.931525,41,147.058928,True,0.8
61.756226,25,152.054881,True,0.8
57.764245,17,155.529756,True,0.8
55.533205,13,158.182479,True,0.8
56.321049,15,161.23788,True,0.8
62.344996,27,166.742319,True,0.8
62.527814,26,172.025343,True,0.8
62.061559,25,177.198121,True,0.8
60.529534,64,190.355407,True,0.8
59.408154,22,194.916297,True,0.8
61.911977,26,200.293267,True,0.8
56.801308,22,204.825546,True,0.82
60.102897,22,209.37591,True,0.82
60.101484,22,213.970089,True,0.82
54.769128,9,215.882011,True,0.82
60.16653,23,220.639516,True,0.82
59.372933,54,231.675334,True,0.82
60.047244,24,236.554382,True,0.82
57.731098,64,249.754334,True,0.82
63.933048,30,255.934733,True,0.82
50.896813,26,261.303944,True,0.82
53.74574,10,263.400367,True,0.82
59.740164,22,267.927918,True,0.82
64.067244,31,274.322972,True,0.82
55.39411,39,282.349534,True,0.82
61.795538,23,287.046916,True,0.82
61.373388,25,292.23472,True,0.82
58.928771,19,296.19639,True,0.82
57.630449,19,300.0728,True,0.82
61.927113,27,305.424609,True,0.82
55.868757,43,314.266069,True,0.82
63.359212,29,320.102998,True,0.82
62.319265,24,325.073578,True,0.82
56.3007,17,328.606355,True,0.82
58.501154,19,333.092719,True,0.82
59.082948,24,338.049335,True,0.82
62.47948,28,343.909337,True,0.82
61.765811,69,358.110605,True,0.82
60.765011,25,362.995795,True,0.82
56.50629,13,365.675457,True,0.82
65.616716,53,376.446702,True,0.82
60.040999,22,380.977268,True,0.82
60.659996,26,386.065786,True,0.82
58.054559,35,393.189377,True,0.82
62.313336,24,398.071782,True,0.82
59.629496,22,402.660317,True,0.82
62.814308,27,408.234254,True,0.82
56.09354,54,429.415424,True,0.82
64.390042,31,435.745687,True,0.82
57.02804,14,438.628489,True,0.82
64.269139,31,444.961039,True,0.82
62.217552,26,450.34848,True,0.84
62.161219,28,456.085898,True,0.84
62.489933,37,463.713501,True,0.84
51.918249,53,474.579579,True,0.84
57.553818,18,478.307644,True,0.84
55.829163,11,480.598489,True,0.84
57.679301,16,483.929265,True,0.84
56.412084,61,496.443424,True,0.84
64.657627,32,503.037043,True,0.84
52.405576,26,508.35829,True,0.84
65.362398,74,523.578842,True,0.84
57.946718,15,526.688112,True,0.84
58.07311,21,531.029765,True,0.84
65.08945,33,537.894682,True,0.84
58.88454,22,542.7953,True,0.84
57.354604,17,546.371383,True,0.84
57.967636,18,550.116727,True,0.84
62.64046,30,556.506627,True,0.84
63.552612,30,562.572591,True,0.84
62.328731,24,567.310887,True,0.84
61.42045,28,572.710127,True,0.84
62.439787,25,577.804974,True,0.84
61.447208,27,583.177655,True,0.84
57.575655,22,587.514053,True,0.84
64.455001,73,602.411043,True,0.84
61.875105,27,607.770825,True,0.84
57.362117,66,620.704853,True,0.84
56.722065,19,624.460871,True,0.84
62.443887,25,629.385377,True,0.84
64.667884,44,638.055885,True,0.84
60.835153,29,643.827907,True,0.84
60.352682,22,648.342221,True,0.84
63.212594,28,654.042555,True,0.84
58.22131,21,658.321856,True,0.84
66.530144,37,665.626975,True,0.84
58.718469,21,669.783947,True,0.84
59.659065,22,674.200266,True,0.84
62.724386,43,682.730206,True,0.84
59.169523,19,686.524854,True,0.84
58.453342,19,690.337485,True,0.84
63.708165,57,701.61466,True,0.86
66.329241,37,709.109038,True,0.86
58.724171,18,712.820757,True,0.86
57.420947,21,717.135311,True,0.86
59.639984,19,721.13734,True,0.86
55.421443,17,724.675222,True,0.86
59.539345,18,728.356308,True,0.86
58.198634,23,733.081449,True,0.86
53.853318,8,734.752823,True,0.86
57.417631,17,738.272285,True,0.86
64.875908,53,749.068568,True,0.86
63.310906,29,755.017236,True,0.86
54.23507,8,756.692069,True,0.86
60.69389,24,761.575543,True,0.86
62.054901,25,766.753024,True,0.86
62.501648,27,772.305551,True,0.86
62.799639,28,778.035721,True,0.86
50.90957,2,778.483016,True,0.86
56.74315,68,792.209972,True,0.86
63.130549,32,799.959725,True,0.86
57.497287,20,805.650156,True,0.86
57.311964,16,809.001092,True,0.86
56.759668,22,813.573569,True,0.86
62.92793,29,819.308679,True,0.86
61.531238,67,832.895092,True,0.86
57.556682,15,836.000959,True,0.86
64.197669,33,854.414382,True,0.86
60.185174,20,858.556769,True,0.86
53.710839,53,869.317353,True,0.86
58.664973,63,881.958188,True,0.86
64.652767,34,888.848212,True,0.86
59.313623,27,894.347635,True,0.86
55.629941,57,905.962257,True,0.86
55.991968,68,919.70419,True,0.86
62.528135,26,924.966149,True,0.86
56.538374,17,928.433127,True,0.86
64.96348,77,943.90302,True,0.86
62.156041,26,949.117971,True,0.86
60.172681,23,953.757419,True,0.86
60.337449,23,958.405697,True,0.86
60.858989,74,973.085745,True,0.88
68.518344,179,1009.062532,True,0.88
64.16483,35,1016.024117,True,0.88
64.640297,89,1033.862231,True,0.88
58.342404,49,1043.559724,True,0.88
56.413177,70,1057.299608,True,0.88
54.807993,12,1059.717324,True,0.88
56.794173,15,1062.739652,True,0.88
60.009745,65,1075.497428,True,0.88
56.162841,197,1114.784368,True,0.88
66.731947,119,1138.134495,True,0.88
55.800432,11,1140.356415,True,0.88
58.258638,124,1164.950085,True,0.88
61.173056,89,1182.522611,True,0.88
61.639551,25,1187.544354,True,0.88
61.660101,75,1202.616803,True,0.88
57.066981,19,1206.544992,True,0.88
61.608422,25,1212.071604,True,0.88
58.032465,127,1239.100088,True,0.88
56.421946,16,1242.550908,True,0.88
64.804043,37,1250.598954,True,0.88
57.668334,16,1254.142258,True,0.88
62.841953,88,1290.862362,True,0.88
58.228058,17,1294.589677,True,0.88
63.543848,29,1300.63888,True,0.88
56.473437,62,1313.835139,True,0.88
62.592519,133,1341.348994,True,0.88
62.285817,24,1346.216846,True,0.88
59.714744,25,1351.230342,True,0.88
57.567785,32,1358.331666,True,0.88
59.508775,30,1364.656081,True,0.88
75.712574,229,1413.409784,True,0.88
57.508851,114,1437.835344,True,0.88
60.845345,73,1453.354576,True,0.88
61.031055,30,1459.627712,True,0.88
58.841231,19,1463.615763,True,0.88
60.570291,35,1471.010472,True,0.88
53.405222,58,1483.522654,True,0.88
55.286885,13,1486.333553,True,0.88
53.888034,46,1495.859147,True,0.88
63.104971,30,1502.144432,True,0.9
59.976674,122,1528.098855,True,0.9
58.48576,22,1532.916577,True,0.9
64.703309,150,1563.389402,True,0.9
57.01783,20,1567.435206,True,0.9
62.372912,182,1604.008931,True,0.9
61.26728,28,1609.622215,True,0.9
69.748194,315,1674.400656,True,0.9
57.937945,104,1695.619342,True,0.9
63.800111,89,1739.546864,True,0.9
50.532482,35,1747.167586,True,0.9
59.769103,132,1775.627773,True,0.9
58.314687,18,1779.73118,True,0.9
60.914377,29,1786.069315,True,0.9
