#{"t_start": 1774271305.8688312, "env_id": "None"}
r,l,t,is_success,fusion_alpha
59.21584,266,45.071552,True,0.95
55.573684,156,71.265291,True,0.95
58.545095,412,137.527041,True,0.95
5.292034,600,232.857908,False,0.95
59.763829,444,306.082263,True,0.95
14.956273,600,413.019731,False,0.95
62.373915,321,465.475529,True,0.95
56.140232,79,478.52393,True,0.95
64.808036,311,527.281045,True,0.95
66.716213,260,569.823288,True,0.95
64.561512,339,624.537746,True,0.95
64.695417,139,646.89201,True,0.95
62.947342,151,672.80218,True,0.95
62.335597,411,758.490936,True,0.95
60.55616,289,808.204311,True,0.95
64.408386,256,850.890347,True,0.95
66.554166,257,893.92668,True,0.95
65.619362,204,926.665472,True,0.95
62.931931,319,980.336117,True,0.95
62.88258,306,1030.92788,True,0.95
68.302553,414,1117.909245,True,0.95
58.838414,72,1129.782145,True,0.95
68.327763,346,1188.332623,True,0.95
64.228106,169,1215.999637,True,0.95
60.404682,191,1247.263551,True,0.95
57.371507,127,1268.084583,True,0.95
62.176015,245,1308.88181,True,0.95
61.916357,356,1368.967716,True,0.95
63.366498,141,1392.82419,True,0.95
59.913334,97,1426.306968,True,0.95
62.795989,147,1451.137903,True,0.95
60.949797,27,1455.690387,True,0.95
61.791532,187,1487.341518,True,0.95
59.227192,221,1524.699973,True,0.95
63.469652,155,1550.936517,True,0.95
63.95289,164,1578.360407,True,0.95
56.752216,118,1598.14643,True,0.95
64.289988,134,1620.637299,True,0.95
66.228491,106,1638.267762,True,0.95
59.283005,82,1651.969103,True,0.95
58.659185,151,1677.814115,True,0.95
54.389914,86,1692.287562,True,0.95
61.970404,213,1728.324679,True,0.95
60.551077,274,1794.281896,True,0.95
56.132631,135,1817.19404,True,0.95
55.52338,18,1820.285754,True,0.95
58.882762,134,1842.971979,True,0.95
54.668169,14,1845.390362,True,0.95
59.431881,163,1872.985606,True,0.95
57.00738,19,1876.215657,True,0.95
62.757939,98,1893.269991,True,0.95
70.758913,299,1943.976825,True,0.95
