#{"t_start": 1774328663.6530607, "env_id": "None"}
r,l,t,is_success,fusion_alpha
6.197619,600,100.637709,False,0.96
6.174361,600,201.606619,False,0.96
57.460801,116,224.180163,True,0.96
13.334125,600,341.596429,False,0.96
6.190023,600,469.309098,False,0.96
10.112594,600,586.866388,False,0.96
10.851725,600,703.307004,False,0.96
14.603961,600,830.315738,False,0.96
9.744594,600,946.779,False,0.96
55.015316,117,969.494228,True,0.96
5.319651,600,1086.861562,False,0.96
7.206101,600,1214.130129,False,0.96
5.629578,600,1331.650231,False,0.96
2.793372,600,1448.773876,False,0.96
5.997386,600,1566.598829,False,0.96
12.32833,600,1695.995647,False,0.96
11.38795,600,1813.826107,False,0.96
5.573498,600,1931.416553,False,0.96
7.048576,600,2059.769887,False,0.96
6.70138,600,2177.277154,False,0.96
12.370925,600,2296.620663,False,0.96
8.839382,600,2415.869126,False,0.96
6.759988,600,2548.071708,False,0.96
1.282625,600,2666.950673,False,0.96
8.072936,600,2787.023063,False,0.96
7.091316,600,2916.575643,False,0.96
12.727566,600,3031.254296,False,0.96
5.46437,600,3150.592056,False,0.96
10.391529,600,3280.598862,False,0.96
9.581473,600,3400.502412,False,0.96
6.861373,600,3520.942343,False,0.96
2.838721,600,3636.043882,False,0.96
2.932938,600,3769.612845,False,0.96
4.454686,600,3884.285954,False,0.96
3.395358,600,4004.533417,False,0.96
6.763239,600,4134.336588,False,0.96
6.498157,600,4254.889961,False,0.96
7.98393,600,4375.649029,False,0.96
1.096232,600,4497.23152,False,0.96
3.112127,600,4630.431393,False,0.96
-0.000148,600,4752.391217,False,0.96
11.06658,600,4871.678527,False,0.96
1.29888,600,5004.430065,False,0.96
-0.651655,600,5126.167961,False,0.96
3.605377,600,5248.712199,False,0.96
8.247322,600,5381.567463,False,0.96
4.568307,600,5504.099265,False,0.96
6.446714,600,5625.50174,False,0.96
9.123682,600,5748.634335,False,0.96
-3.514945,600,5884.879179,False,0.96
0.567626,600,6007.396838,False,0.96
7.334813,600,6129.454833,False,0.96
3.139674,600,6262.77809,False,0.96
5.152829,600,6385.090077,False,0.96
5.569721,600,6508.068458,False,0.96
3.508658,600,6630.867631,False,0.96
2.872459,600,6766.759925,False,0.96
9.566246,600,6891.468809,False,0.96
1.208519,600,7015.148249,False,0.96
7.70027,600,7148.763844,False,0.96
4.396654,600,7273.299056,False,0.96
1.027142,600,7398.231784,False,0.96
5.270056,600,7523.643022,False,0.96
4.845363,600,7662.161145,False,0.96
1.419138,600,7787.423928,False,0.96
12.87062,600,7912.015946,False,0.96
1.444065,600,8049.913697,False,0.96
4.301841,600,8176.174607,False,0.96
13.035488,600,8303.491704,False,0.96
8.604957,600,8442.248026,False,0.96
11.284921,600,8570.33892,False,0.96
3.796091,600,8698.742205,False,0.96
9.280264,600,8826.667238,False,0.96
-2.654007,600,8968.970418,False,0.96
11.731093,600,9097.593823,False,0.96
2.181706,600,9226.723626,False,0.96
1.383625,600,9368.581416,False,0.96
49.601189,1,9368.851133,True,0.96
11.516626,600,9499.035513,False,0.96
0.663589,600,9630.931227,False,0.96
5.700201,600,9762.910908,False,0.96
6.405092,600,9909.472315,False,0.96
6.3382,600,10043.150414,False,0.96
6.565567,600,10180.220357,False,0.96
