#{"t_start": 1776442224.6772554, "env_id": "None"}
r,l,t,is_success,fusion_alpha
-15.938592,31,4.691179,False,0.95
-14.279825,31,8.962519,False,0.95
58.512984,17,11.371284,True,0.95
-18.137826,31,15.642007,False,0.95
-15.358485,31,19.901145,False,0.95
-18.295677,31,24.151113,False,0.95
56.997356,14,26.144937,True,0.95
59.476283,18,28.689589,True,0.95
-0.765633,31,32.947595,False,0.95
-11.771908,31,37.20521,False,0.95
-14.290113,31,41.443879,False,0.95
55.103989,12,43.158653,True,0.95
-6.634977,31,47.407487,False,0.95
-7.42537,31,51.658388,False,0.95
-15.988617,31,55.940631,False,0.95
53.122353,8,57.088475,True,0.95
-6.436329,31,61.33048,False,0.95
-19.669209,31,65.583473,False,0.95
62.118804,25,69.064497,True,0.95
55.364042,13,70.904976,True,0.95
-3.464818,31,75.219537,False,0.95
-0.815493,31,79.480378,False,0.95
58.986855,17,81.886134,True,0.95
-5.143053,31,86.147275,False,0.95
57.654359,15,88.274579,True,0.95
-6.978809,31,92.550239,False,0.95
-25.235991,31,96.813284,False,0.95
-14.200567,31,101.086203,False,0.95
-12.366995,31,105.497484,False,0.95
55.540279,11,107.118983,True,0.95
-6.963759,31,111.575517,False,0.95
-5.188896,31,116.031898,False,0.95
57.119902,14,118.106598,True,0.95
-16.352177,32,122.711458,False,0.95
-24.900697,31,127.152873,False,0.95
-15.97784,31,131.516455,False,0.95
-22.603862,31,135.772248,False,0.95
-7.605866,31,140.045584,False,0.95
-25.666696,31,144.315885,False,0.95
-14.597552,32,148.752449,False,0.95
-25.47887,31,153.022405,False,0.95
-1.077131,31,157.30227,False,0.95
53.64408,7,158.31165,True,0.95
-17.360019,31,162.596054,False,0.95
53.777283,10,164.030491,True,0.95
60.006739,19,166.721286,True,0.95
-23.606977,31,171.002263,False,0.95
56.625535,14,173.007167,True,0.95
0.334612,31,177.300395,False,0.95
-8.143977,31,181.576986,False,0.95
57.326344,14,183.5794,True,0.95
-8.358456,31,187.856371,False,0.95
-10.349117,31,192.133387,False,0.95
-12.058962,31,196.418067,False,0.95
-1.139148,31,200.700008,False,0.95
60.916354,22,203.816894,True,0.95
-11.381639,31,208.091431,False,0.95
-2.918935,31,212.397752,False,0.95
-7.50324,31,216.682824,False,0.95
57.552939,17,219.095833,True,0.95
-2.249655,31,223.470408,False,0.95
54.086704,9,224.824435,True,0.95
-23.156037,31,229.258363,False,0.95
-21.23089,31,233.612254,False,0.95
-7.750039,31,237.905106,False,0.95
-20.968492,31,242.197551,False,0.95
60.700579,25,245.719512,True,0.95
-6.469799,31,250.016818,False,0.95
-17.224823,31,254.304902,False,0.95
0.984021,31,258.610215,False,0.95
-12.350696,31,262.936134,False,0.95
58.948864,17,265.354458,True,0.95
60.978019,22,268.487968,True,0.95
-10.91038,31,272.799545,False,0.95
-21.912867,31,277.094639,False,0.95
-7.596964,31,281.395061,False,0.95
-11.357389,31,285.693215,False,0.95
-25.626589,31,294.163489,False,0.95
-1.188096,31,298.466884,False,0.95
-21.848134,31,302.768416,False,0.95
-11.838422,31,307.064775,False,0.95
-13.065091,31,311.372228,False,0.95
-13.682875,31,315.674638,False,0.95
60.557781,20,318.524602,True,0.95
0.292008,31,322.832688,False,0.95
-7.772587,31,327.126043,False,0.95
-5.552772,31,331.428677,False,0.95
-1.152343,31,335.734486,False,0.95
-11.027172,31,340.045402,False,0.95
60.000025,19,342.748836,True,0.95
-10.783435,31,347.064424,False,0.95
60.853771,22,350.195674,True,0.95
-5.761586,31,354.505681,False,0.95
-14.632714,31,359.013632,False,0.95
-4.213154,31,363.398182,False,0.95
-24.080936,31,367.742338,False,0.95
-23.982738,31,372.080974,False,0.95
-13.193544,31,376.436089,False,0.95
-0.921805,31,380.80259,False,0.95
-25.326144,31,385.185047,False,0.95
-5.078475,31,389.51452,False,0.95
50.498885,2,389.840495,True,0.95
-3.840726,31,394.223056,False,0.95
49.752136,1,394.388659,True,0.95
-5.812841,31,398.72841,False,0.95
-13.009027,31,403.105777,False,0.95
-10.558499,31,407.435113,False,0.95
