#{"t_start": 1776667505.0688632, "env_id": "None"}
r,l,t,is_success,fusion_alpha
61.283441,32,1.858749,True,0.99
55.991004,77,5.136125,True,0.99
58.348244,27,6.442566,True,0.99
65.092363,212,16.521259,True,0.99
54.668662,34,18.100705,True,0.99
8.233848,267,29.703621,False,0.99
54.231415,114,34.583326,True,0.99
70.259587,202,43.312164,True,0.99
63.832362,59,45.857978,True,0.99
55.089003,14,46.460572,True,0.99
56.264978,24,47.530674,True,0.99
66.935068,132,53.232978,True,0.99
60.756046,79,56.604735,True,0.99
64.71502,46,58.629485,True,0.99
71.513482,134,64.30081,True,0.99
60.050442,90,68.123058,True,0.99
62.655244,38,69.743948,True,0.99
62.202248,37,71.317208,True,0.99
67.019109,52,73.650979,True,0.99
60.065217,39,75.329924,True,0.99
61.148557,88,79.117084,True,0.99
57.898117,28,80.323123,True,0.99
59.373502,106,84.984471,True,0.99
64.182368,110,90.492806,True,0.99
63.774946,50,103.481969,True,0.99
63.053511,37,105.115882,True,0.99
61.679285,32,106.565107,True,0.99
54.902315,36,108.27445,True,0.99
60.738905,25,109.472213,True,0.99
54.485358,24,110.642671,True,0.99
54.319332,12,111.22773,True,0.99
65.974374,154,118.346181,True,0.99
61.575384,48,120.582799,True,0.99
60.287724,37,122.252655,True,0.99
71.194501,375,139.972182,True,0.99
66.107411,253,151.606041,True,0.99
-0.692698,249,163.104625,False,0.99
59.572741,23,164.131992,True,0.99
62.002266,29,165.467166,True,0.99
62.908574,33,166.941498,True,0.99
63.623194,39,168.68556,True,0.99
63.629936,147,175.081189,True,0.99
63.661241,36,176.644314,True,0.99
62.555234,31,177.999042,True,0.99
58.638589,26,179.162606,True,0.99
55.480669,127,184.978988,True,0.99
62.909157,129,190.52513,True,0.99
59.5887,32,191.914019,True,0.99
56.279513,15,192.567961,True,0.99
63.179354,34,194.040508,True,0.99
65.444346,50,207.82741,True,0.99
-1.884302,59,210.372603,False,0.99
56.004718,28,211.599596,True,0.99
63.945636,43,213.471628,True,0.99
55.43513,80,216.994859,True,0.99
-17.179284,65,219.797454,False,0.99
61.913876,30,221.132944,True,0.99
59.732569,34,222.607867,True,0.99
53.861704,11,223.105647,True,0.99
-20.945572,76,226.39472,False,0.99
62.999665,63,229.113152,True,0.99
62.233983,32,230.523494,True,0.99
-6.837005,67,233.407934,False,0.99
63.48193,66,236.267254,True,0.99
54.126888,11,236.756472,True,0.99
56.850825,37,238.362789,True,0.99
64.053179,37,239.962246,True,0.99
-30.694823,93,243.96782,False,0.99
59.542211,35,245.480541,True,0.99
-22.748435,69,248.444205,False,0.99
62.272396,31,249.795629,True,0.99
57.680381,35,251.312249,True,0.99
50.418624,1,251.373942,True,0.99
-7.021493,206,260.299323,False,0.99
53.703414,73,263.492823,True,0.99
62.726328,32,264.874336,True,0.99
61.07776,47,266.914995,True,0.99
66.958046,59,269.463975,True,0.99
60.263214,29,270.730528,True,0.99
-8.464392,78,274.126705,False,0.99
-28.99948,131,279.805044,False,0.99
61.150967,215,289.118162,True,0.99
60.362684,179,305.645101,True,0.99
63.430673,37,307.26653,True,0.99
59.050754,25,308.371619,True,0.99
61.374402,25,309.472784,True,0.99
63.338822,38,311.137744,True,0.99
67.326574,64,313.905076,True,0.99
55.914837,205,322.809472,True,0.99
62.690369,46,324.812835,True,0.99
58.955786,56,327.253047,True,0.99
60.02663,27,328.43189,True,0.99
52.875767,7,328.747601,True,0.99
68.692621,152,335.35094,True,0.99
49.941524,1,335.411935,True,0.99
61.668518,31,336.765075,True,0.99
58.027797,21,337.681964,True,0.99
68.47595,83,341.270907,True,0.99
63.335018,52,343.537749,True,0.99
57.735872,27,344.720669,True,0.99
59.54242,25,345.816721,True,0.99
59.328603,148,352.223994,True,0.99
3.025434,64,354.983014,False,0.99
65.350064,42,356.810778,True,0.99
55.766068,98,361.063682,True,0.99
55.036198,12,361.600802,True,0.99
62.928129,242,372.030784,True,0.99
67.309912,156,378.774157,True,0.99
59.809056,114,383.713667,True,0.99
69.634083,245,405.648245,True,0.99
4.423721,66,408.495236,False,0.99
63.7377,35,410.008001,True,0.99
