#{"t_start": 1776704588.7369568, "env_id": "None"}
r,l,t,is_success,fusion_alpha
54.451964,11,1.161989,True,0.992
60.5449,33,2.674683,True,0.992
66.668333,72,5.919518,True,0.992
61.245347,99,10.366492,True,0.992
53.005467,6,10.657022,True,0.992
65.044442,45,12.674069,True,0.992
54.946202,18,13.504574,True,0.992
62.331361,33,14.996572,True,0.992
59.133278,25,16.148281,True,0.992
59.927582,31,17.541098,True,0.992
61.522682,207,26.889103,True,0.992
53.192046,7,27.225594,True,0.992
53.894754,8,27.593949,True,0.992
57.026356,73,30.920152,True,0.992
62.434375,38,32.663708,True,0.992
52.880112,7,32.994344,True,0.992
56.434047,14,33.642023,True,0.992
60.311607,33,35.137922,True,0.992
58.646952,28,36.483832,True,0.992
58.106462,26,37.668084,True,0.992
56.664562,95,41.96383,True,0.992
59.137992,99,46.426163,True,0.992
58.517487,29,47.746943,True,0.992
56.538204,20,48.655282,True,0.992
65.326561,47,50.831498,True,0.992
65.081896,199,59.815372,True,0.992
58.681107,88,63.820908,True,0.992
57.842628,24,64.916191,True,0.992
60.100023,24,66.017451,True,0.992
59.789683,168,73.609712,True,0.992
60.526799,73,76.90696,True,0.992
62.305039,68,79.986771,True,0.992
61.862263,43,81.905646,True,0.992
66.165213,53,84.305336,True,0.992
59.722861,34,85.85832,True,0.992
55.833022,29,87.178416,True,0.992
59.94297,42,89.095442,True,0.992
61.434908,92,93.292044,True,0.992
-18.148528,189,111.131952,False,0.992
66.37102,112,116.172508,True,0.992
64.407372,94,120.389158,True,0.992
61.481915,63,123.240346,True,0.992
56.343862,19,124.115618,True,0.992
65.591985,118,129.444979,True,0.992
57.802133,22,130.438354,True,0.992
55.596013,12,130.992237,True,0.992
61.945227,62,133.78259,True,0.992
63.379033,101,138.296611,True,0.992
61.021977,106,143.095763,True,0.992
60.435148,28,144.365101,True,0.992
-7.871923,55,146.866461,False,0.992
-10.333139,156,154.284865,False,0.992
61.255474,46,156.43349,True,0.992
55.385076,102,161.372065,True,0.992
61.403971,36,163.119944,True,0.992
-0.642695,108,168.411127,False,0.992
58.356643,109,173.743929,True,0.992
