#{"t_start": 1776233367.7105207, "env_id": "None"}
r,l,t,is_success,fusion_alpha
-6.008534,600,108.797676,False,0.95
6.33614,600,213.336595,False,0.95
7.357664,600,320.560678,False,0.95
1.707755,600,452.797199,False,0.95
-5.551574,600,570.994497,False,0.95
9.872922,600,690.60394,False,0.95
-2.642183,600,826.166298,False,0.95
2.835519,600,944.950416,False,0.95
3.203157,600,1066.14974,False,0.95
0.355479,600,1183.979936,False,0.95
8.328579,600,1317.037224,False,0.95
-2.031319,600,1435.30413,False,0.95
0.686058,600,1553.60148,False,0.95
-0.33429,600,1683.02701,False,0.95
2.266593,600,1804.501649,False,0.95
2.39538,600,1925.383444,False,0.95
7.041885,600,2050.29025,False,0.95
9.324179,600,2192.350045,False,0.95
-1.800135,600,2318.957725,False,0.95
3.055611,600,2443.440189,False,0.95
2.514218,600,2582.492131,False,0.95
5.67832,600,2707.355387,False,0.95
-3.120688,600,2833.196761,False,0.95
4.067756,600,2970.011377,False,0.95
5.352383,600,3095.119428,False,0.95
3.566321,600,3219.29145,False,0.95
8.177823,600,3344.408078,False,0.95
6.037567,600,3484.065038,False,0.95
5.021287,600,3610.345455,False,0.95
-2.472752,600,3736.646135,False,0.95
4.947715,600,3872.358491,False,0.95
-4.033784,600,3995.314195,False,0.95
10.331287,600,4115.582466,False,0.95
-0.593413,600,4238.922341,False,0.95
7.594101,600,4375.948684,False,0.95
9.790345,600,4499.834974,False,0.95
2.733015,600,4624.231652,False,0.95
7.023742,600,4758.971874,False,0.95
-5.005244,600,4882.231073,False,0.95
2.037073,600,5003.353599,False,0.95
10.64798,600,5134.165737,False,0.95
-2.113098,600,5253.310518,False,0.95
9.774677,600,5376.238358,False,0.95
1.938637,600,5495.718175,False,0.95
3.341916,600,5627.691463,False,0.95
7.097575,600,5747.249284,False,0.95
4.530094,600,5867.20046,False,0.95
-3.037534,600,5995.447127,False,0.95
7.218963,600,6116.12605,False,0.95
-4.794089,600,6236.042785,False,0.95
8.633968,600,6356.725971,False,0.95
3.13732,600,6488.826243,False,0.95
1.652158,600,6610.187501,False,0.95
4.655903,600,6730.898483,False,0.95
10.228678,600,6862.015042,False,0.95
1.593001,600,6985.366365,False,0.95
-2.478974,600,7108.298208,False,0.95
4.16164,600,7228.742782,False,0.95
-3.011448,600,7362.9027,False,0.95
0.57488,600,7486.326935,False,0.95
9.731804,600,7606.569755,False,0.95
6.321885,600,7740.470304,False,0.95
2.287727,600,7864.079414,False,0.95
0.19183,600,7988.828104,False,0.95
-2.402738,600,8124.302653,False,0.95
2.2145,600,8249.26774,False,0.95
8.097509,600,8374.510348,False,0.95
4.830794,600,8500.768838,False,0.95
4.99327,600,8638.358491,False,0.95
6.572506,600,8765.42128,False,0.95
-2.166233,600,8892.049304,False,0.95
0.91848,600,9029.293397,False,0.95
6.085532,600,9157.083444,False,0.95
1.270888,600,9285.987331,False,0.95
9.394059,600,9414.238983,False,0.95
1.73083,600,9556.077106,False,0.95
0.175626,600,9684.039933,False,0.95
-1.107452,600,9810.366419,False,0.95
3.006387,600,9949.542873,False,0.95
9.233398,600,10079.813605,False,0.95
3.44747,600,10210.506348,False,0.95
1.425946,600,10351.727123,False,0.95
5.886495,600,10483.383671,False,0.95
-1.329979,600,10615.760964,False,0.95
2.980837,600,10749.156063,False,0.95
6.387699,600,10894.399907,False,0.95
5.24315,600,11030.149755,False,0.95
-0.638071,600,11164.979642,False,0.95
8.365984,600,11311.691198,False,0.95
7.040927,600,11449.458994,False,0.95
4.898287,600,11590.15939,False,0.95
50.395544,1,11590.470069,True,0.95
2.327027,600,11732.814567,False,0.95
-2.416809,600,11888.63726,False,0.95
9.470176,600,12033.814245,False,0.95
-3.437272,600,12176.658573,False,0.95
8.40275,600,12329.973358,False,0.95
2.856408,600,12470.932677,False,0.95
4.442317,600,12612.98384,False,0.95
10.102861,600,12765.008892,False,0.95
5.858074,600,12908.823803,False,0.95
9.389439,600,13051.040025,False,0.95
6.147008,600,13195.824962,False,0.95
-4.532788,600,13354.109127,False,0.95
1.79595,600,13500.738102,False,0.95
-2.225392,600,13647.475322,False,0.95
8.846883,600,13806.222208,False,0.95
62.851026,133,13838.552771,True,0.95
61.141308,133,13870.928733,True,0.95
57.581876,72,13888.441291,True,0.95
61.402489,136,13921.474056,True,0.95
59.93389,79,13940.642855,True,0.95
58.870181,178,13984.807163,True,0.95
57.737981,25,13991.057797,True,0.95
57.981641,125,14022.613179,True,0.95
63.409364,146,14059.019901,True,0.95
65.280243,138,14093.505579,True,0.95
53.697531,60,14108.552608,True,0.95
60.960489,129,14140.690674,True,0.95
67.346644,241,14200.793464,True,0.95
59.266052,237,14259.658738,True,0.95
56.830531,70,14277.10357,True,0.95
63.172021,134,14330.872499,True,0.95
53.734696,59,14345.656731,True,0.95
54.663542,114,14374.107691,True,0.95
55.171703,103,14399.920328,True,0.95
58.86733,128,14431.928971,True,0.95
60.849389,247,14493.71909,True,0.95
56.400204,66,14510.274861,True,0.95
58.808856,77,14529.585572,True,0.95
49.578943,1,14529.902017,True,0.95
63.118837,160,14570.145635,True,0.95
57.644429,130,14602.917913,True,0.95
58.364927,176,14647.912173,True,0.95
60.280261,174,14691.945191,True,0.95
60.330492,130,14724.732865,True,0.95
66.087318,249,14787.730968,True,0.95
58.314428,37,14797.163609,True,0.95
59.506879,118,14846.773588,True,0.95
57.99477,121,14877.37763,True,0.95
60.554402,90,14900.212415,True,0.95
60.575201,128,14933.714753,True,0.95
61.482606,33,14942.110873,True,0.95
65.251373,93,14966.219663,True,0.95
53.092652,62,14982.549826,True,0.95
57.966641,77,15002.644178,True,0.95
61.766688,79,15023.727629,True,0.95
56.549503,122,15055.358518,True,0.95
60.548946,140,15091.354085,True,0.95
54.977528,66,15108.301152,True,0.95
64.12631,194,15160.305341,True,0.95
63.206914,137,15197.078863,True,0.95
57.881107,122,15229.915852,True,0.95
50.266149,94,15256.042965,True,0.95
57.421752,71,15275.209283,True,0.95
63.879176,196,15328.081019,True,0.95
64.573792,144,15366.60778,True,0.95
63.498274,141,15424.103262,True,0.95
57.965782,25,15430.91085,True,0.95
56.870359,70,15449.804001,True,0.95
57.513728,131,15485.327075,True,0.95
63.98962,191,15537.237968,True,0.95
62.051921,195,15590.388494,True,0.95
62.978997,126,15624.749307,True,0.95
61.675421,129,15659.452209,True,0.95
56.226266,69,15678.089305,True,0.95
61.973283,133,15714.078262,True,0.95
56.936876,21,15719.864662,True,0.95
58.248517,79,15741.190431,True,0.95
58.523109,20,15746.619153,True,0.95
65.41903,157,15788.983122,True,0.95
58.166291,127,15823.276277,True,0.95
54.793452,73,15843.233806,True,0.95
64.613736,138,15880.846231,True,0.95
60.125248,85,15904.616926,True,0.95
58.254563,67,15922.965922,True,0.95
62.412385,122,15956.526181,True,0.95
57.839275,121,16010.159018,True,0.95
62.243778,85,16032.997093,True,0.95
57.279919,130,16068.224037,True,0.95
60.78092,141,16106.153048,True,0.95
58.649171,72,16125.711067,True,0.95
59.602648,75,16145.929803,True,0.95
56.922107,53,16160.373409,True,0.95
56.910974,131,16195.653559,True,0.95
62.31434,81,16217.493301,True,0.952
55.731211,66,16235.961823,True,0.952
53.339374,60,16252.365716,True,0.952
60.466379,104,16280.170725,True,0.952
59.990857,100,16306.293465,True,0.952
59.366708,74,16325.755199,True,0.952
52.912094,91,16350.710115,True,0.952
60.552763,124,16383.705551,True,0.952
56.771071,32,16392.430691,True,0.952
55.678301,77,16413.171794,True,0.952
55.172434,70,16433.751732,True,0.952
61.543226,137,16473.601365,True,0.952
58.719307,82,16496.984364,True,0.952
53.962932,69,16515.468435,True,0.952
58.594028,40,16526.253895,True,0.952
55.939508,19,16531.310169,True,0.952
59.058492,134,16584.686596,True,0.952
55.452409,35,16594.148903,True,0.952
58.556503,83,16616.315279,True,0.952
55.515953,70,16634.967859,True,0.952
60.729095,81,16656.867396,True,0.952
66.111078,155,16698.187334,True,0.952
59.095889,24,16704.645632,True,0.952
61.237695,139,16741.902946,True,0.952
59.41116,81,16763.636514,True,0.952
57.399426,74,16783.403459,True,0.952
62.86372,92,16808.13312,True,0.952
64.43492,138,16845.236763,True,0.952
56.295927,78,16866.380743,True,0.952
57.803213,19,16871.700175,True,0.952
57.130706,20,16877.183253,True,0.952
61.206538,85,16900.994803,True,0.952
55.284186,68,16919.703137,True,0.952
62.894071,83,16942.367734,True,0.952
62.901864,87,16966.119174,True,0.952
62.06685,126,17000.424277,True,0.952
57.293608,18,17005.379567,True,0.952
63.277654,92,17030.337044,True,0.952
62.6697,103,17058.541188,True,0.952
60.352809,84,17081.243623,True,0.952
62.115939,83,17103.729025,True,0.952
54.959821,61,17136.950237,True,0.952
56.58163,74,17157.132804,True,0.952
58.595837,147,17197.007161,True,0.952
63.937475,163,17242.28632,True,0.952
62.803362,79,17264.120818,True,0.952
61.086327,84,17287.346794,True,0.952
55.872981,17,17292.01806,True,0.952
54.613166,24,17298.701453,True,0.952
53.344025,28,17306.435418,True,0.952
62.911309,137,17344.192625,True,0.952
53.893841,12,17347.619415,True,0.952
60.411523,85,17371.668465,True,0.952
59.953692,79,17393.563973,True,0.952
63.181327,85,17417.790103,True,0.952
56.945959,21,17423.802729,True,0.952
55.950227,89,17448.877165,True,0.952
58.147043,77,17469.917195,True,0.952
55.172437,71,17489.956015,True,0.952
61.509371,52,17504.506623,True,0.952
62.6849,93,17530.269477,True,0.952
59.045295,133,17566.849318,True,0.952
57.984335,24,17573.430903,True,0.952
53.782905,76,17593.778742,True,0.952
64.701467,50,17607.114749,True,0.952
55.270984,66,17625.045561,True,0.952
55.356831,16,17629.452336,True,0.952
60.583369,88,17653.269007,True,0.952
56.628638,20,17658.631382,True,0.952
64.025589,154,17715.230808,True,0.952
53.485217,8,17717.405449,True,0.952
54.60002,63,17734.400201,True,0.952
59.203151,85,17757.094633,True,0.952
60.029509,19,17762.301241,True,0.952
58.266399,87,17785.968134,True,0.952
60.165968,80,17807.699138,True,0.952
61.968567,94,17833.178936,True,0.952
57.009996,61,17849.816373,True,0.952
57.415847,24,17856.412565,True,0.952
54.05981,10,17859.3269,True,0.952
54.418797,80,17882.556091,True,0.954
63.27327,90,17907.533877,True,0.954
57.197764,76,17928.069789,True,0.954
59.167863,44,17939.938032,True,0.954
60.694633,87,17963.606297,True,0.954
53.35608,50,17977.111413,True,0.954
56.38898,77,17997.871953,True,0.954
58.436872,81,18019.551898,True,0.954
62.661325,212,18077.028555,True,0.954
55.333284,69,18095.747689,True,0.954
62.142509,41,18106.925648,True,0.954
59.17647,78,18128.464857,True,0.954
57.331599,18,18133.46288,True,0.954
62.63577,27,18140.887613,True,0.954
63.435457,98,18167.897458,True,0.954
53.606902,15,18172.229026,True,0.954
60.493828,83,18195.868055,True,0.954
60.565066,26,18203.322884,True,0.954
58.64652,88,18227.761835,True,0.954
55.867362,17,18232.443266,True,0.954
60.983299,78,18253.722196,True,0.954
63.506317,120,18301.737099,True,0.954
59.062808,81,18324.507762,True,0.954
63.743188,176,18372.174681,True,0.954
53.639912,82,18394.338902,True,0.954
53.295649,36,18404.119181,True,0.954
61.160167,81,18426.104614,True,0.954
54.815677,12,18429.371858,True,0.954
64.412724,160,18473.144819,True,0.954
60.166669,88,18497.385912,True,0.954
58.623785,25,18504.290865,True,0.954
63.38189,88,18528.553355,True,0.954
52.56905,71,18548.638165,True,0.954
62.031157,25,18555.555786,True,0.954
59.727394,100,18583.127699,True,0.954
59.775079,20,18588.703249,True,0.954
61.392966,91,18613.821626,True,0.954
56.974616,72,18633.772565,True,0.954
56.092899,17,18638.584336,True,0.954
62.018087,36,18648.536264,True,0.954
61.901814,86,18672.406256,True,0.954
61.782944,110,18703.086556,True,0.954
56.51378,81,18725.616947,True,0.954
60.148506,84,18748.876579,True,0.954
64.777961,34,18758.411188,True,0.954
60.084104,22,18764.5377,True,0.954
60.067007,87,18788.651875,True,0.954
58.493255,77,18810.153112,True,0.954
57.836569,77,18831.581286,True,0.954
65.18654,58,18863.451948,True,0.954
60.18436,83,18887.148471,True,0.954
55.979781,20,18892.772702,True,0.954
64.692403,103,18921.022472,True,0.954
55.051847,67,18939.399625,True,0.954
58.708882,25,18946.273102,True,0.954
63.756685,41,18957.542283,True,0.954
60.438377,26,18964.683106,True,0.954
57.727647,81,18986.925367,True,0.954
56.533035,61,19003.815181,True,0.954
55.20254,27,19011.298583,True,0.954
57.200792,82,19034.022188,True,0.954
55.113768,16,19038.450745,True,0.954
57.598111,56,19053.88291,True,0.954
63.646127,151,19095.306772,True,0.954
63.595111,99,19124.200161,True,0.954
61.792802,29,19132.716777,True,0.954
56.798921,18,19137.845795,True,0.954
61.522897,91,19163.530488,True,0.954
65.861395,120,19198.915377,True,0.954
57.703994,58,19215.151519,True,0.954
55.519696,86,19239.544568,True,0.954
60.035758,84,19262.62937,True,0.954
61.835838,44,19274.845517,True,0.954
56.97688,69,19294.128833,True,0.954
64.469939,135,19331.985895,True,0.954
59.212643,24,19338.790009,True,0.954
62.567718,91,19364.442954,True,0.954
61.97195,30,19372.930496,True,0.954
55.232562,14,19376.936094,True,0.954
56.064537,16,19381.525379,True,0.954
64.943393,36,19391.660091,True,0.956
56.369737,78,19413.700332,True,0.956
55.403877,15,19417.989503,True,0.956
58.956469,84,19457.080261,True,0.956
60.43133,23,19463.595739,True,0.956
62.069851,119,19497.163981,True,0.956
49.569397,1,19497.51771,True,0.956
55.233105,14,19501.515367,True,0.956
58.549089,17,19506.367577,True,0.956
53.716128,71,19526.370031,True,0.956
63.596545,104,19555.688583,True,0.956
59.478282,18,19560.831887,True,0.956
57.630478,87,19585.920237,True,0.956
62.481742,27,19593.622787,True,0.956
63.643962,110,19624.903191,True,0.956
56.661244,84,19648.531832,True,0.956
66.19177,84,19671.877894,True,0.956
61.232305,88,19696.370488,True,0.956
62.330913,28,19704.163722,True,0.956
58.795233,20,19709.716044,True,0.956
56.062213,81,19732.287993,True,0.956
63.089279,58,19748.44722,True,0.956
63.417869,44,19760.940838,True,0.956
57.759451,41,19772.634902,True,0.956
60.604679,28,19780.639074,True,0.956
57.320294,78,19802.934627,True,0.956
55.442631,16,19807.535981,True,0.956
51.088288,24,19814.525468,True,0.956
55.055475,23,19821.509104,True,0.956
61.352705,31,19830.699487,True,0.956
57.606996,54,19846.413182,True,0.956
60.286588,92,19872.769441,True,0.956
61.341935,156,19917.315784,True,0.956
52.438736,48,19931.5764,True,0.956
53.356313,9,19934.189489,True,0.956
57.911657,80,19956.972815,True,0.956
61.384905,26,19964.456093,True,0.956
54.968884,76,19986.238376,True,0.956
55.197654,16,19990.865924,True,0.956
55.580729,80,20014.023259,True,0.956
62.077291,104,20062.081117,True,0.956
65.176737,106,20090.361348,True,0.956
55.110149,72,20109.957899,True,0.956
55.109725,12,20113.273742,True,0.956
62.66522,77,20133.492524,True,0.956
60.548328,25,20140.062108,True,0.956
62.083406,67,20157.755817,True,0.956
58.867338,21,20163.217421,True,0.956
61.63963,91,20187.223318,True,0.956
55.960547,68,20204.97997,True,0.956
55.765729,14,20208.656709,True,0.956
55.378333,15,20212.572659,True,0.956
53.725228,60,20228.351673,True,0.956
