#{"t_start": 1776440746.0961273, "env_id": "None"}
r,l,t,is_success,fusion_alpha
-10.29767,31,4.930142,False,0.95
-0.323846,31,9.474995,False,0.95
-5.507842,31,13.54644,False,0.95
56.621986,13,15.395654,True,0.95
-6.208173,31,19.710051,False,0.95
-23.448054,31,23.989637,False,0.95
-13.251784,31,28.269755,False,0.95
54.040889,8,29.443945,True,0.95
-7.342566,31,33.745611,False,0.95
60.526871,22,36.868601,True,0.95
57.368629,18,39.442174,True,0.95
-16.819132,31,43.724312,False,0.95
56.966281,16,46.011165,True,0.95
-18.43425,31,50.329752,False,0.95
58.132971,17,52.752392,True,0.95
56.709154,13,54.610209,True,0.95
-5.969684,31,58.904983,False,0.95
-1.505476,31,63.297217,False,0.95
-21.345992,31,67.679586,False,0.95
-22.730284,31,72.011084,False,0.95
-2.744064,31,76.491877,False,0.95
-13.846004,31,81.021497,False,0.95
61.458399,25,84.561719,True,0.95
-8.609858,31,88.882825,False,0.95
-24.944837,31,93.226127,False,0.95
-4.652858,31,97.585208,False,0.95
-22.702772,31,101.918457,False,0.95
62.181357,24,105.488937,True,0.95
-1.202111,31,110.560861,False,0.95
51.226506,3,111.092782,True,0.95
-9.145965,31,116.278088,False,0.95
58.589949,18,119.398424,True,0.95
54.106047,8,120.807018,True,0.95
56.029881,15,123.410755,True,0.95
-16.149736,31,128.688996,False,0.95
54.662145,9,130.288159,True,0.95
-0.752422,31,135.56331,False,0.95
-0.83787,31,140.883044,False,0.95
-9.09628,31,146.05961,False,0.95
-11.799986,31,151.111126,False,0.95
-20.649595,31,156.147995,False,0.95
57.433537,16,158.828168,True,0.95
-10.749723,31,163.942357,False,0.95
-24.324519,31,168.991953,False,0.95
58.670761,17,171.822242,True,0.95
-4.008517,31,176.864973,False,0.95
-4.878179,31,181.887873,False,0.95
-1.874913,31,186.975318,False,0.95
-10.253142,31,192.001574,False,0.95
-2.789789,31,197.103247,False,0.95
61.815432,24,201.092075,True,0.95
-9.997309,31,206.155428,False,0.95
-15.44115,31,211.20914,False,0.95
-3.895385,31,216.232353,False,0.95
-7.87544,31,221.356614,False,0.95
-11.33283,31,226.452941,False,0.95
-14.138266,31,231.505246,False,0.95
58.829927,17,234.378806,True,0.95
0.022303,31,239.504166,False,0.95
-12.950468,31,244.617334,False,0.95
-9.30313,31,249.685627,False,0.95
-7.472217,31,254.741893,False,0.95
-25.282832,31,259.797339,False,0.95
-1.556332,31,264.895111,False,0.95
56.137075,13,267.071817,True,0.95
-25.769455,31,272.14073,False,0.95
-9.265429,31,277.207732,False,0.95
-24.963008,31,282.265759,False,0.95
