#{"t_start": 1774414794.0687242, "env_id": "None"}
r,l,t,is_success,fusion_alpha
60.813046,53,10.218469,True,0.96
50.073126,41,17.433757,True,0.96
57.436445,24,21.686048,True,0.96
61.148789,59,32.183247,True,0.96
62.693187,27,37.116389,True,0.96
63.253743,33,43.09547,True,0.96
62.66384,48,51.616616,True,0.96
61.439837,56,61.625212,True,0.96
60.293697,22,65.555176,True,0.96
58.457868,19,69.039564,True,0.96
56.68127,19,72.49591,True,0.96
61.599858,22,76.472955,True,0.96
59.637705,22,80.86258,True,0.96
54.211032,9,82.502854,True,0.96
63.021616,29,87.614822,True,0.96
59.55376,29,92.807055,True,0.96
57.341753,19,96.198771,True,0.96
56.697202,16,99.06759,True,0.96
64.28317,33,104.952786,True,0.96
61.845485,29,110.178923,True,0.96
59.862194,21,113.942958,True,0.96
53.257192,61,124.786537,True,0.96
62.380042,25,129.326729,True,0.96
62.303432,29,134.638467,True,0.96
59.575869,22,138.569479,True,0.96
52.900718,47,146.921025,True,0.96
61.634712,27,151.814215,True,0.96
61.885321,24,156.205196,True,0.96
62.350692,29,161.236093,True,0.96
59.778489,21,165.073898,True,0.96
55.260625,15,167.894946,True,0.96
62.448582,33,173.761457,True,0.96
61.769858,30,179.361344,True,0.96
54.948247,116,201.039057,True,0.96
60.291429,21,204.965651,True,0.96
63.330934,29,210.331326,True,0.96
64.589653,35,216.850421,True,0.96
58.859182,20,220.607104,True,0.96
61.32604,27,225.708089,True,0.96
56.139428,17,228.876579,True,0.96
60.224178,71,242.090153,True,0.97
57.932139,110,263.462033,True,0.97
57.482027,71,278.281054,True,0.97
58.061355,19,282.273898,True,0.97
63.377975,33,289.197893,True,0.97
63.50329,31,295.698611,True,0.97
58.187525,132,323.793055,True,0.97
56.453861,69,338.32992,True,0.97
60.846862,25,343.576583,True,0.97
57.74683,80,360.347317,True,0.97
56.794174,28,366.268591,True,0.97
61.363705,28,372.230794,True,0.97
62.372849,143,415.982403,True,0.97
57.802894,17,419.566498,True,0.97
63.769952,32,426.393262,True,0.97
67.799053,91,445.542392,True,0.97
60.419257,123,471.147134,True,0.97
65.555767,41,479.650472,True,0.97
64.086099,56,491.324279,True,0.97
57.353987,14,494.275852,True,0.97
64.58667,85,511.750863,True,0.97
60.49258,84,528.978848,True,0.97
63.836494,56,540.54213,True,0.97
61.178049,143,569.984822,True,0.97
61.506437,50,580.3491,True,0.97
59.341447,20,585.085203,True,0.97
60.707094,86,602.79084,True,0.97
57.404063,122,627.799127,True,0.97
57.679797,19,631.693223,True,0.97
56.40682,14,634.588949,True,0.97
63.102804,28,640.324374,True,0.97
60.235475,73,655.461461,True,0.97
62.380387,28,661.28983,True,0.97
59.318337,40,669.529592,True,0.97
60.207705,88,687.704653,True,0.97
56.948565,23,692.43871,True,0.97
63.785718,32,699.114074,True,0.97
59.363792,23,704.003378,True,0.97
57.176287,19,707.939922,True,0.97
59.651112,34,714.98862,True,0.97
4.701918,600,856.044359,False,1.0
-0.5408,600,979.074448,False,1.0
4.718174,600,1102.329138,False,1.0
6.074152,600,1225.221123,False,1.0
3.02183,600,1364.030699,False,1.0
17.414188,600,1485.424155,False,1.0
8.681172,600,1607.521251,False,1.0
12.367871,600,1740.800276,False,1.0
13.057765,600,1858.437879,False,1.0
11.373903,600,1981.923887,False,1.0
11.868173,600,2106.642121,False,1.0
12.165693,600,2242.955548,False,1.0
11.717784,600,2366.214097,False,1.0
11.075351,600,2488.509108,False,1.0
14.152198,600,2623.259978,False,1.0
13.510244,600,2746.077431,False,1.0
5.170739,600,2869.004683,False,1.0
14.050812,600,3004.065799,False,1.0
11.62966,600,3127.715577,False,1.0
12.858419,600,3250.814485,False,1.0
14.93693,600,3374.005945,False,1.0
13.935403,600,3512.942976,False,1.0
14.153589,600,3637.207203,False,1.0
14.364258,600,3760.977318,False,1.0
14.381299,600,3896.815949,False,1.0
15.54224,600,4020.343511,False,1.0
14.49829,600,4138.773385,False,1.0
15.992648,600,4256.929424,False,1.0
11.080842,600,4386.001731,False,1.0
10.472443,600,4504.16275,False,1.0
16.06307,600,4622.370114,False,1.0
6.696473,600,4750.006194,False,1.0
12.668273,600,4868.930893,False,1.0
14.452777,600,4987.5962,False,1.0
13.780919,600,5106.218049,False,1.0
12.349782,600,5236.1155,False,1.0
11.199494,600,5354.958672,False,1.0
15.143983,600,5474.393756,False,1.0
14.092483,600,5602.582283,False,1.0
13.933746,600,5721.78556,False,1.0
10.938806,600,5841.085071,False,1.0
13.119636,600,5970.760171,False,1.0
14.525843,600,6085.961058,False,1.0
13.590041,600,6206.260749,False,1.0
13.609013,600,6326.12222,False,1.0
10.848792,600,6458.492244,False,1.0
8.571175,600,6578.593937,False,1.0
13.409632,600,6700.08684,False,1.0
13.955104,600,6849.620096,False,1.0
14.187514,600,6980.839667,False,1.0
15.422046,600,7103.84762,False,1.0
10.360884,600,7227.009568,False,1.0
12.95891,600,7360.978239,False,1.0
11.98325,600,7482.6318,False,1.0
14.602056,600,7602.346887,False,1.0
