#{"t_start": 1774422609.3970504, "env_id": "None"}
r,l,t,is_success,fusion_alpha
63.478393,144,23.886937,True,0.96
62.189184,137,46.10447,True,0.96
51.673387,44,53.243855,True,0.96
60.110725,32,58.41318,True,0.96
58.462165,69,70.661173,True,0.96
64.094624,262,119.800688,True,0.96
55.585208,13,122.34751,True,0.96
55.144328,13,124.905041,True,0.96
58.862458,67,137.704426,True,0.96
60.232131,31,143.656115,True,0.96
63.659341,45,152.278255,True,0.96
63.02236,28,157.665908,True,0.96
58.874524,23,162.087855,True,0.96
59.957886,22,166.317726,True,0.96
58.512693,29,171.911387,True,0.96
60.17371,23,176.341854,True,0.96
64.810737,154,205.840758,True,0.96
54.191286,87,222.489154,True,0.96
62.272486,31,228.26164,True,0.96
55.578992,61,239.715058,True,0.96
59.211934,70,252.980135,True,0.96
62.153947,53,263.212314,True,0.96
61.630095,138,290.065379,True,0.96
57.856198,117,312.746091,True,0.96
63.893857,81,328.767167,True,0.96
62.848226,29,334.347325,True,0.96
49.986775,1,334.592469,True,0.96
53.244506,111,355.821207,True,0.96
62.586268,116,377.988741,True,0.96
54.358372,64,405.253671,True,0.96
55.052975,12,407.609718,True,0.96
58.390528,21,411.707466,True,0.96
68.878512,242,459.547593,True,0.96
65.38821,92,478.052215,True,0.96
59.13927,218,520.294672,True,0.96
62.631045,31,526.261379,True,0.96
57.579256,79,541.523309,True,0.96
58.588594,181,577.277472,True,0.96
62.554229,82,593.207617,True,0.96
69.382468,245,641.117335,True,0.96
59.254154,78,656.229186,True,0.96
58.797503,19,659.892683,True,0.96
62.42984,190,697.046137,True,0.96
64.384314,43,705.43143,True,0.96
53.499386,94,723.78853,True,0.96
55.906887,17,727.189096,True,0.96
62.013401,123,751.525589,True,0.96
62.70063,112,773.363773,True,0.96
55.244383,16,776.483207,True,0.96
62.810562,83,792.508877,True,0.96
60.064782,82,825.906795,True,0.97
59.992702,29,831.425117,True,0.97
61.638772,248,878.567825,True,0.97
65.020437,49,888.372884,True,0.97
