#{"t_start": 1776531677.3744638, "env_id": "None"}
r,l,t,is_success,fusion_alpha
53.534855,7,86.007741,True,0.95
-7.008508,31,89.561008,False,0.95
-1.256471,31,93.115506,False,0.95
-3.796084,31,96.649947,False,0.95
61.168032,22,99.235639,True,0.95
61.626002,23,102.006732,True,0.95
-13.099546,31,105.64378,False,0.95
-3.48351,31,109.244418,False,0.95
0.126262,31,112.874396,False,0.95
-23.706457,32,116.614354,False,0.95
-13.81652,32,120.381137,False,0.95
-9.169098,32,124.132981,False,0.95
-2.180164,31,127.82319,False,0.95
-12.868378,31,131.448347,False,0.95
-21.907733,31,135.039531,False,0.95
-5.206317,31,138.600064,False,0.95
-7.814345,31,142.171037,False,0.95
0.120393,31,145.628608,False,0.95
61.605276,22,148.070495,True,0.95
0.689911,31,151.518564,False,0.95
-0.083418,31,154.806224,False,0.95
-0.64022,31,158.106771,False,0.95
-4.430969,31,161.509074,False,0.95
-22.018774,32,164.989863,False,0.95
-14.637561,31,168.137651,False,0.95
58.358615,16,169.729307,True,0.95
60.105171,21,171.70825,True,0.95
50.255616,1,171.823786,True,0.95
-24.854335,32,174.992447,False,0.95
58.72293,17,176.677442,True,0.95
-6.828784,31,179.746272,False,0.95
55.967304,13,181.05016,True,0.95
-4.367967,31,184.090531,False,0.95
54.622053,12,185.30479,True,0.95
-10.471243,31,188.332122,False,0.95
-24.768031,31,191.401303,False,0.95
-25.391681,31,194.564702,False,0.95
-9.645598,31,197.623291,False,0.95
-6.462258,31,200.721093,False,0.95
-2.450306,31,203.771984,False,0.95
-14.242535,31,206.85485,False,0.95
-2.75632,32,210.073088,False,0.95
-3.222028,31,213.124853,False,0.95
-1.629432,32,216.342476,False,0.95
-23.48231,31,219.430415,False,0.95
-14.762248,31,222.424429,False,0.95
-21.957936,31,225.261378,False,0.95
58.548544,19,227.002481,True,0.95
55.740461,11,228.033981,True,0.95
-4.544964,31,230.869358,False,0.95
59.932088,19,232.599772,True,0.95
-12.024108,32,235.512138,False,0.95
-14.815787,32,238.449567,False,0.95
-11.99644,31,241.270799,False,0.95
-21.260968,31,244.090254,False,0.95
56.16664,12,245.213332,True,0.95
-3.399168,31,248.073275,False,0.95
-12.886839,31,250.965681,False,0.95
57.70108,15,252.354326,True,0.95
-5.876876,31,255.172742,False,0.95
-5.039777,31,258.042947,False,0.95
58.415449,16,259.53273,True,0.95
56.143339,13,260.738244,True,0.95
54.082411,8,261.508228,True,0.95
-3.440134,31,264.350482,False,0.95
-8.193287,31,267.228314,False,0.95
-22.97064,31,270.095724,False,0.95
61.469331,22,272.130526,True,0.95
-9.200933,31,275.042436,False,0.95
56.05583,13,276.419917,True,0.95
-9.455539,31,279.462545,False,0.95
53.646578,8,280.221144,True,0.95
-10.377887,31,283.053148,False,0.95
-0.685371,31,285.898474,False,0.95
-11.779947,31,288.73795,False,0.95
-6.838585,31,291.58922,False,0.95
-3.118268,31,300.248842,False,0.95
55.495264,11,301.270435,True,0.95
-11.117025,31,304.084779,False,0.95
-0.973169,31,306.96877,False,0.95
-10.397707,31,309.793657,False,0.95
